id;name;street;phone;id;email;country_id;propinsi_id
__export__.cdn_asuransi_20_0163f518;PT CIMB Sun Life;Gedung Menara Sun Life Lantai 9 Jalan DR Ide Anak Agung Gde Agung Blok 6 3 Kawasan Mega Kuningan;;__export__.cdn_asuransi_20_0163f518;;Indonesia;31
__export__.cdn_asuransi_21_2f466513;PT Commonwealth Life;Gedung Wisma Metropolitan 2 Jl. Jend. Sudirman Kav. 29-31;021- 57005000, 29299500;__export__.cdn_asuransi_21_2f466513;robertus.gunawan@commlife.co.id;Indonesia;31
__export__.cdn_asuransi_22_eace582f;PT Equity Life Indonesia;Wisma Sudirman Lantai 1-3A Jl. Jend Sudirman Kav. 34;021-5739288;__export__.cdn_asuransi_22_eace582f;accounting@equity.co.id;Indonesia;31
__export__.cdn_asuransi_23_b2061fcc;PT Asuransi Jiwa Generali Indonesia;Cyber 2 Tower 30th Floor Jl. HR. Rasuna Said Blok X-5 No. 13;;__export__.cdn_asuransi_23_b2061fcc;;Indonesia;31
__export__.cdn_asuransi_24_88931de7;PT Lippo Life Assurance;Gedung Lippo Kuningan Lt 27 Unit B dan C JL HR Rasuna Said Kav B-12;021-5256161;__export__.cdn_asuransi_24_88931de7;secretariat@lippoinsurance.com;Indonesia;31
__export__.cdn_asuransi_25_e9402639;PT Asuransi Jiwa Manulife Indonesia;Gedung Sampoerna Strategic Square South Tower Lantai 3-17, Karet Semanggi, Setiabudi;021-25557788;__export__.cdn_asuransi_25_e9402639;Accounting_id@ Manulife.Com;Indonesia;31
__export__.cdn_asuransi_26_24918756;PT Asuransi Jiwa Mega Indonesia;Menara Bank Mega Lantai 6 Jl. Kapten Tendean Kav. 12 - 14A;021-52901415;__export__.cdn_asuransi_26_24918756;cs@megalife.co.id;Indonesia;31
__export__.cdn_asuransi_27_e49c6a04;PT MNC Life Assurance;MNC Tower Lantai 7 Jl. Kebon Sirih Kav. 17-19;021- 39837005, 39837006;__export__.cdn_asuransi_27_e49c6a04;;Indonesia;31
__export__.cdn_asuransi_28_3cf2c7af;PT Prudential Life Assurance;Jl. Jend. Sudirman Kav. 79 Jakarta Selatan;;__export__.cdn_asuransi_28_3cf2c7af;;FALSE;31
__export__.cdn_asuransi_29_8a97babd;PT Asuransi Jiwa Tugu Mandiri;Wisma Tugu Lantai 1, 2, 4 & 5 Jl. Raden Saleh No.44, Cikini Jakarta Pusat;;__export__.cdn_asuransi_29_8a97babd;;FALSE;31
__export__.cdn_asuransi_30_9a3b7b18;PT. Asuransi Jiwa Taspen;Gd. Arthaloka Lantai 17, Jl. Jend. Sudirman Kav. 2, Kel. Karet Tengsin Kec. Tanah Abang;021-57933306;__export__.cdn_asuransi_30_9a3b7b18;taspenlife@taspenlife.com;Indonesia;31
