"id","id","kode","name","deskripsi"
"__export__.cdn_icd9_11933_770d1fea","__export__.cdn_icd9_11933_770d1fea","02.31","Ventricular shunt to structure in head and neck","Ventricl shunt-head/neck"
"__export__.cdn_icd9_11934_b1fb390b","__export__.cdn_icd9_11934_b1fb390b","02.32","Ventricular shunt to circulatory system","Ventri shunt-circula sys"
"__export__.cdn_icd9_11935_0cc94dab","__export__.cdn_icd9_11935_0cc94dab","02.33","Ventricular shunt to thoracic cavity","Ventricl shunt-thorax"
"__export__.cdn_icd9_11936_f7177b81","__export__.cdn_icd9_11936_f7177b81","02.34","Ventricular shunt to abdominal cavity and organs","Ventricl shunt-abdomen"
"__export__.cdn_icd9_11937_2966af2d","__export__.cdn_icd9_11937_2966af2d","02.35","Ventricular shunt to urinary system","Ventri shunt-uninary sys"
"__export__.cdn_icd9_11938_13353408","__export__.cdn_icd9_11938_13353408","02.39","Ventricular shunt to extracranial site NEC","Vent shunt extracran NEC"
"__export__.cdn_icd9_11939_042b09f1","__export__.cdn_icd9_11939_042b09f1","02.41","Irrigation and exploration of ventricular shunt","Irrigate/expl vent shunt"
"__export__.cdn_icd9_11940_66f99ceb","__export__.cdn_icd9_11940_66f99ceb","02.42","Replacement of ventricular shunt","Replace ventricle shunt"
"__export__.cdn_icd9_11941_884f0553","__export__.cdn_icd9_11941_884f0553","02.43","Removal of ventricular shunt","Remove ventricle shunt"
"__export__.cdn_icd9_11942_0e6822d8","__export__.cdn_icd9_11942_0e6822d8","02.91","Lysis of cortical adhesions","Lysis cortical adhesion"
"__export__.cdn_icd9_11943_ebb73335","__export__.cdn_icd9_11943_ebb73335","02.92","Repair of brain","Brain repair"
"__export__.cdn_icd9_11944_b86571d4","__export__.cdn_icd9_11944_b86571d4","02.93","Implantation or replacement of intracranial neurostimulator lead(s)","Imp/repl brain stim lead"
"__export__.cdn_icd9_11945_73685d99","__export__.cdn_icd9_11945_73685d99","02.94","Insertion or replacement of skull tongs or halo traction device","Insert/replac skull tong"
"__export__.cdn_icd9_11946_2a2d9d97","__export__.cdn_icd9_11946_2a2d9d97","02.95","Removal of skull tongs or halo traction device","Remove skull tongs"
"__export__.cdn_icd9_11947_02e516d5","__export__.cdn_icd9_11947_02e516d5","02.96","Insertion of sphenoidal electrodes","Insert sphenoid electrod"
"__export__.cdn_icd9_11948_285decd0","__export__.cdn_icd9_11948_285decd0","02.99","Other operations on skull, brain, and cerebral meninges","Skull & brain op NEC"
"__export__.cdn_icd9_11949_a20c61fa","__export__.cdn_icd9_11949_a20c61fa","03.01","Removal of foreign body from spinal canal","Removal FB spinal canal"
"__export__.cdn_icd9_11950_fbdbd153","__export__.cdn_icd9_11950_fbdbd153","03.02","Reopening of laminectomy site","Reopen laminectomy site"
"__export__.cdn_icd9_11951_d35153fc","__export__.cdn_icd9_11951_d35153fc","03.09","Other exploration and decompression of spinal canal","Spinal canal explor NEC"
"__export__.cdn_icd9_11952_e46928be","__export__.cdn_icd9_11952_e46928be","03.1","Division of intraspinal nerve root","Intraspin nerve root div"
"__export__.cdn_icd9_11953_e271e77b","__export__.cdn_icd9_11953_e271e77b","03.21","Percutaneous chordotomy","Percutaneous chordotomy"
"__export__.cdn_icd9_11954_d781c634","__export__.cdn_icd9_11954_d781c634","03.29","Other chordotomy","Other chordotomy"
"__export__.cdn_icd9_11955_10aba137","__export__.cdn_icd9_11955_10aba137","03.31","Spinal tap","Spinal tap"
"__export__.cdn_icd9_11956_41910dc4","__export__.cdn_icd9_11956_41910dc4","03.32","Biopsy of spinal cord or spinal meninges","Spinal cord/meninges bx"
"__export__.cdn_icd9_11957_918222a0","__export__.cdn_icd9_11957_918222a0","03.39","Other diagnostic procedures on spinal cord and spinal canal structures","Other spinal dx proc"
"__export__.cdn_icd9_11958_d46df031","__export__.cdn_icd9_11958_d46df031","03.4","Excision or destruction of lesion of spinal cord or spinal meninges","Excis spinal cord lesion"
"__export__.cdn_icd9_11959_e90522e2","__export__.cdn_icd9_11959_e90522e2","03.51","Repair of spinal meningocele","Spine meningocele repair"
"__export__.cdn_icd9_11960_2cc32e32","__export__.cdn_icd9_11960_2cc32e32","03.52","Repair of spinal myelomeningocele","Myelomeningocel repair"
"__export__.cdn_icd9_11961_cbe32329","__export__.cdn_icd9_11961_cbe32329","03.53","Repair of vertebral fracture","Vertebral fx repair"
"__export__.cdn_icd9_11962_8b529510","__export__.cdn_icd9_11962_8b529510","03.59","Other repair and plastic operations on spinal cord structures","Spinal struct repair NEC"
"__export__.cdn_icd9_11963_440127b5","__export__.cdn_icd9_11963_440127b5","03.6","Lysis of adhesions of spinal cord and nerve roots","Spinal cord adhesiolysis"
"__export__.cdn_icd9_11964_9d2795ca","__export__.cdn_icd9_11964_9d2795ca","03.71","Spinal subarachnoid-peritoneal shunt","Subarach-periton shunt"
"__export__.cdn_icd9_11965_a6680917","__export__.cdn_icd9_11965_a6680917","03.72","Spinal subarachnoid-ureteral shunt","Subarach-ureteral shunt"
"__export__.cdn_icd9_11966_56d1cf08","__export__.cdn_icd9_11966_56d1cf08","03.79","Other shunt of spinal theca","Oth spinal thecal shunt"
"__export__.cdn_icd9_11967_d9088529","__export__.cdn_icd9_11967_d9088529","03.8","Injection of destructive agent into spinal canal","Destr inject-spine canal"
"__export__.cdn_icd9_11968_b30b97ea","__export__.cdn_icd9_11968_b30b97ea","03.90","Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances","Insert spinal canal cath"
"__export__.cdn_icd9_11969_6cf6c77f","__export__.cdn_icd9_11969_6cf6c77f","03.91","Injection of anesthetic into spinal canal for analgesia","Anesth inject-spin canal"
"__export__.cdn_icd9_11970_6a4ff3d1","__export__.cdn_icd9_11970_6a4ff3d1","03.92","Injection of other agent into spinal canal","Spinal canal inject NEC"
"__export__.cdn_icd9_11971_db973922","__export__.cdn_icd9_11971_db973922","03.93","Implantation or replacement of spinal neurostimulator lead(s)","Imp/repl spine stim lead"
"__export__.cdn_icd9_11972_d4299884","__export__.cdn_icd9_11972_d4299884","03.94","Removal of spinal neurostimulator lead(s)","Removal spine stim lead"
"__export__.cdn_icd9_11973_3a058d2d","__export__.cdn_icd9_11973_3a058d2d","03.95","Spinal blood patch","Spinal patch"
"__export__.cdn_icd9_11974_2c46dfe4","__export__.cdn_icd9_11974_2c46dfe4","03.96","Percutaneous denervation of facet","Percutan facet denervat"
"__export__.cdn_icd9_11975_4a3d9439","__export__.cdn_icd9_11975_4a3d9439","03.97","Revision of spinal thecal shunt","Revise spine theca shunt"
"__export__.cdn_icd9_11976_f5c02a85","__export__.cdn_icd9_11976_f5c02a85","03.98","Removal of spinal thecal shunt","Remove spine theca shunt"
"__export__.cdn_icd9_11977_183d4912","__export__.cdn_icd9_11977_183d4912","03.99","Other operations on spinal cord and spinal canal structures","Spine canal struc op NEC"
"__export__.cdn_icd9_11978_961ec3dc","__export__.cdn_icd9_11978_961ec3dc","04.01","Excision of acoustic neuroma","Excision acoustc neuroma"
"__export__.cdn_icd9_11979_603450c1","__export__.cdn_icd9_11979_603450c1","04.02","Division of trigeminal nerve","Trigeminal nerv division"
"__export__.cdn_icd9_11980_e268fabd","__export__.cdn_icd9_11980_e268fabd","04.03","Division or crushing of other cranial and peripheral nerves","Periph nerve div NEC"
"__export__.cdn_icd9_11981_a5b4cbb6","__export__.cdn_icd9_11981_a5b4cbb6","04.04","Other incision of cranial and peripheral nerves","Periph nerve incis NEC"
"__export__.cdn_icd9_11982_00fc8f23","__export__.cdn_icd9_11982_00fc8f23","04.05","Gasserian ganglionectomy","Gasserian ganglionectomy"
"__export__.cdn_icd9_11983_f22e8877","__export__.cdn_icd9_11983_f22e8877","04.06","Other cranial or peripheral ganglionectomy","Periph ganglionect NEC"
"__export__.cdn_icd9_11984_c659c939","__export__.cdn_icd9_11984_c659c939","04.07","Other excision or avulsion of cranial and peripheral nerves","Periph nerv excision NEC"
"__export__.cdn_icd9_11985_3f977a2f","__export__.cdn_icd9_11985_3f977a2f","04.11","Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion","Clos periph nerve biopsy"
"__export__.cdn_icd9_11986_d1ad609b","__export__.cdn_icd9_11986_d1ad609b","04.12","Open biopsy of cranial or peripheral nerve or ganglion","Open periph nerve biopsy"
